Y軸,X2軸理論值,X2軸實際值,X1軸理論值,X1軸實際值,修正量 ΔX（實際－理論）,一階預測 ΔX,,一階回歸分析,結果
66,15,50,5.00,60.00,35.00,-2.38,,斜率 m,-0.028549
176,105,80,90.00,130.00,-25.00,-5.53,,截距 b,-0.500681
256,130,100,120.00,140.00,-30.00,-7.81,,R²,0.3294
361,115,80,140.00,155.00,-35.00,-10.81,,標準誤差,26.54
421,95,70,145.00,160.00,-25.00,-12.52,,修正方程式,ΔX = -0.028549 × Y - 0.500681
486,75,50,145.00,160.00,-25.00,-14.38,,定義,Y = Y軸；ΔX = X2軸實際值－X2軸理論值；修正後值 = 實際值－ΔX
541,55,30,145.00,160.00,-25.00,-15.95,,,
621,20,0,145.00,160.00,-20.00,-18.23,,,
686,-5,-20,145.00,160.00,-15.00,-20.09,,,
741,-30,-40,145.00,160.00,-10.00,-21.66,,,
791,-45,-60,145.00,170.00,-15.00,-23.08,,,
871,-65,-90,150.00,180.00,-25.00,-25.37,,,
956,-85,-100,155.00,190.00,-15.00,-27.79,,,
1261,-80,-90,200.00,240.00,-10.00,-36.50,,,
1346,-65,-80,215.00,255.00,-15.00,-38.93,,,
1406,-45,-60,225.00,265.00,-15.00,-40.64,,,
1496,5,-10,245.00,270.00,-15.00,-43.21,,,
1551,40,10,255.00,280.00,-30.00,-44.78,,,
1631,105,60,270.00,290.00,-45.00,-47.06,,,
1761,225,80,285.00,300.00,-145.00,-50.78,,,
1861,285,230,275.00,290.00,-55.00,-53.63,,,
1916,310,250,270.00,285.00,-60.00,-55.20,,,
1991,330,270,255.00,270.00,-60.00,-57.34,,,
2131,345,290,225.00,240.00,-55.00,-61.34,,,
