Y軸理論值,X軸理想值,X軸實際值,補償量 ΔX
66,15,50,"'+35"
176,105,80,"'-25"
256,130,100,"'-30"
361,115,80,"'-35"
421,95,70,"'-25"
486,75,50,"'-25"
541,55,30,"'-25"
621,20,0,"'-20"
686,"'-5","'-20","'-15"
741,"'-30","'-40","'-10"
791,"'-45","'-60","'-15"
871,"'-65","'-90","'-25"
956,"'-85","'-100","'-15"
1261,"'-80","'-90","'-10"
1346,"'-65","'-80","'-15"
1406,"'-45","'-60","'-15"
1496,5,"'-10","'-15"
1551,40,10,"'-30"
1631,105,60,"'-45"
1761,225,80,"'-145"
1861,285,230,"'-55"
1916,310,250,"'-60"
1991,330,270,"'-60"
2131,345,290,"'-55"
